Ranking Nasional,,Ranking Provinsi,NPSN,Sekolah,Provinsi,Kota/Kab.,Jenis Sekolah,Total Score,TPS,TKA Saintek,TKA Soshum,Account,Token Request,Token,Passed,Final Registration,Registrasi Mahasiswa,Distance
795,,24,10303090,SMA N 1 PASAMAN,Sumatera Barat,Kab. Pasaman Barat,SMA,"518,157","527,867","512,753","538,241",4,#N/A,#N/A,#N/A,#N/A,,2248
208,,8,10263742,MAS PERGURUAN ISLAM AR RISALAH,Sumatera Barat,Kota Padang,MA,"556,100","561,745","542,966","601,328",1,#N/A,#N/A,#N/A,#N/A,,2047
70,,3,69983368,MAN INSAN CENDEKIA PADANG PARIAMAN,Sumatera Barat,Kab. Padang Pariaman,MA,"579,010","611,998","574,818","617,220",1,#N/A,#N/A,#N/A,#N/A,,2087
761,,13,10404022,SMAS SANTA MARIA,Riau,Kota Pekanbaru,SMA,"520,000","512,687","516,589","500,683",4,#N/A,#N/A,#N/A,#N/A,,2023
945,,17,10403425,SMAN 1 TUALANG,Riau,Kab. Siak,SMA,"513,741","517,435","508,475","507,275",4,#N/A,#N/A,#N/A,#N/A,,2079
805,,14,10404015,SMA NEGERI 4 PEKANBARU,Riau,Kota Pekanbaru,SMA,"517,870","524,477","520,816","506,571",3,#N/A,#N/A,#N/A,#N/A,,2023
905,,4,50204515,SMAN 5 MATARAM,Nusa Tenggara Barat,Kota Mataram,SMA,"515,036","519,435","504,183","504,116",1,#N/A,#N/A,#N/A,#N/A,,547
802,,3,50202522,SMAN 1 SELONG,Nusa Tenggara Barat,Kab. Lombok Timur,SMA,"517,934","524,244","501,954","534,158",4,#N/A,#N/A,#N/A,#N/A,,608
238,,4,10648016,SMAN SUMATERA SELATAN,Sumatera Selatan,Kota Palembang,SMA,"553,242","561,139","530,151","580,510",3,#N/A,#N/A,#N/A,#N/A,,1299
248,,5,10603858,SMA NEGERI 17 PALEMBANG,Sumatera Selatan,Kota Palembang,SMA,"551,812","580,945","542,252","559,174",4,#N/A,#N/A,#N/A,#N/A,,1299
437,,1,69975824,MAN INSAN CENDEKIA KOTA KENDARI,Sulawesi Tenggara,Kota Kendari,MA,"535,411","549,298","523,988","565,353",3,#N/A,#N/A,#N/A,#N/A,,1827
733,,10,30401786,SMAN 1 BONTANG,Kalimantan Timur,Kota Bontang,SMA,"520,979","527,904","507,901","512,424",2,#N/A,#N/A,#N/A,#N/A,,1582
419,,4,30401067,SMA NEGERI 10 SAMARINDA,Kalimantan Timur,Kota Samarinda,SMA,"536,398","547,805","525,249","523,365",1,#N/A,#N/A,#N/A,#N/A,,1469
269,,2,10807063,SMAN 2 BANDAR LAMPUNG,Lampung ,Kota Bandar Lampung,SMA,"549,758","562,396","546,707","547,856",3,#N/A,#N/A,#N/A,#N/A,,1005
824,,9,10807030,SMA S FRANSISCUS,Lampung ,Kota Bandar Lampung,SMA,"517,258","515,854","519,069","522,839",3,#N/A,#N/A,#N/A,#N/A,,1005
192,,3,11002197,SMAN 3 BATAM,Kepulauan Riau,Kota Batam,SMA,"557,721","577,020","547,785","565,090",9,#N/A,#N/A,#N/A,#N/A,,1730
565,,5,11002199,SMAN 5 BATAM,Kepulauan Riau,Kota Batam,SMA,"528,264","540,073","516,625","520,692",2,#N/A,#N/A,#N/A,#N/A,,1730
985,,8,11002256,SMAN 1 BINTAN UTARA,Kepulauan Riau,Kab. Bintan,SMA,"512,460","516,486","511,685","519,652",4,#N/A,#N/A,#N/A,#N/A,,1772
176,,1,30105210,SMAN 1 PONTIANAK,Kalimantan Barat ,Kota Pontianak,SMA,"559,669","578,018","537,323","559,827",5,#N/A,#N/A,#N/A,#N/A,,1184
224,,2,30105064,SMAS KRISTEN IMMANUEL,Kalimantan Barat ,Kota Pontianak,SMA,"554,217","574,586","551,366","530,248",1,#N/A,#N/A,#N/A,#N/A,,1184
641,,58,20407372,SMAS TERPADU BINA UMAT,D.I Yogyakarta,Kab. Sleman,SMA,"524,754","523,882","519,332","554,904",2,#N/A,#N/A,#N/A,#N/A,,318
527,,46,20401160,SMAN 1 GAMPING,D.I Yogyakarta,Kab. Sleman,SMA,"530,292","540,905","518,801","560,303",3,#N/A,#N/A,#N/A,#N/A,,318
548,,50,20402810,SMA NEGERI 1 PENGASIH,D.I Yogyakarta,Kab. Kulon Progo,SMA,"529,241","538,893","518,214","539,591",4,#N/A,#N/A,#N/A,#N/A,,353
597,,54,69946713,SMA ISLAM AL AZHAR 9 YOGYAKARTA,D.I Yogyakarta,Kab. Sleman,SMA,"526,744","542,895","525,722","529,897",1,#N/A,#N/A,#N/A,#N/A,,318
438,,42,20363284,MAS MUALLIMIN MUHAMMADIYAH,D.I Yogyakarta,Kota Yogyakarta,SMA,"535,371","538,760","504,200","549,846",1,#N/A,#N/A,#N/A,#N/A,,319
916,,1,60103098,SMAN SIWALIMA AMBON,Ambon,Kota Ambon,SMA,"514,551","522,581","494,359","516,417",2,#N/A,#N/A,#N/A,#N/A,,1967
659,,1,30401697,SMAN 1 TARAKAN,Kalimantan Utara,Kota Tarakan,SMA,"523,785","536,288","523,786","525,897",4,#N/A,#N/A,#N/A,#N/A,,2278
